[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Solo las personas en este chat pueden leerlos, escucharlos o compartirlos.
[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Creaste este grupo.
‎[16/12/25, 6:37:32 p. m.] Facu: ‎<adjunto: 00000927-PHOTO-2025-12-16-18-37-32.jpg>
[16/12/25, 6:37:32 p. m.] Facu: + $300.000 acuario
[17/12/25, 2:32:51 p. m.] Facu: $1.000.000 a Carvi en efectivo
‎[17/12/25, 3:25:20 p. m.] Achu: Sueldo Achu ‎<adjunto: 00000930-PHOTO-2025-12-17-15-25-20.jpg>
‎[18/12/25, 9:27:51 a. m.] Achu: Nafta ‎<adjunto: 00000931-PHOTO-2025-12-18-09-27-51.jpg>
‎[18/12/25, 9:44:58 a. m.] Facu: Santi tallerplast ‎<adjunto: 00000932-PHOTO-2025-12-18-09-44-58.jpg>
‎[18/12/25, 9:46:11 a. m.] Facu: ‎<adjunto: 00000933-PHOTO-2025-12-18-09-46-11.jpg>
[18/12/25, 9:46:11 a. m.] Facu: Polimeros
‎[18/12/25, 9:47:02 a. m.] Facu: ‎<adjunto: 00000935-PHOTO-2025-12-18-09-47-02.jpg>
[18/12/25, 9:47:02 a. m.] Facu: Brian
‎[18/12/25, 9:48:02 a. m.] Facu: ‎<adjunto: 00000937-PHOTO-2025-12-18-09-48-02.jpg>
[18/12/25, 9:48:02 a. m.] Facu: Avios lynch
‎[18/12/25, 9:58:22 a. m.] Facu: Pago a carvi ‎<adjunto: 00000939-PHOTO-2025-12-18-09-58-22.jpg>
[18/12/25, 11:36:15 a. m.] Facu: 500k en efectivo para Nico Badanas
‎[19/12/25, 1:50:31 p. m.] Facu: Polimeros ‎<adjunto: 00000941-PHOTO-2025-12-19-13-50-31.jpg>
‎[19/12/25, 1:52:12 p. m.] Facu: Markplast ‎<adjunto: 00000942-PHOTO-2025-12-19-13-52-12.jpg>
‎[19/12/25, 1:57:47 p. m.] Facu: ‎<adjunto: 00000943-PHOTO-2025-12-19-13-57-47.jpg>
[19/12/25, 1:57:47 p. m.] Facu: Printmax
‎[19/12/25, 2:08:37 p. m.] Facu: Mati ‎<adjunto: 00000945-PHOTO-2025-12-19-14-08-37.jpg>
‎[19/12/25, 2:09:35 p. m.] Facu: Mile ‎<adjunto: 00000946-PHOTO-2025-12-19-14-09-35.jpg>
‎[19/12/25, 2:14:30 p. m.] Facu: ‎<adjunto: 00000947-PHOTO-2025-12-19-14-14-30.jpg>
‎[19/12/25, 2:14:30 p. m.] Facu: ‎<adjunto: 00000948-PHOTO-2025-12-19-14-14-30.jpg>
[19/12/25, 2:14:30 p. m.] Facu: Pagos a natalfim
‎[19/12/25, 2:23:09 p. m.] Facu: Guido ‎<adjunto: 00000950-PHOTO-2025-12-19-14-23-09.jpg>
[19/12/25, 2:38:40 p. m.] Facu: Achu 500k en efectivo
[19/12/25, 2:38:47 p. m.] Facu: (Cambia el pago de Nico)
‎[19/12/25, 2:39:16 p. m.] Facu: Nico badanas ‎<adjunto: 00000953-PHOTO-2025-12-19-14-39-16.jpg>
[19/12/25, 3:12:42 p. m.] Achu: Pagamos $7.000.000 a Kirplastic en efvo
‎[19/12/25, 3:25:28 p. m.] Facu: Markplast queda cuenta en cero ‎<adjunto: 00000955-PHOTO-2025-12-19-15-25-28.jpg>
‎[19/12/25, 3:26:07 p. m.] Mati Tuscherr: consumo en el bar ‎<adjunto: 00000956-PHOTO-2025-12-19-15-26-07.jpg>
[19/12/25, 3:26:33 p. m.] Facu: Ahi te mande
‎[19/12/25, 3:27:36 p. m.] Facu: Polimeros. Queda en cero ‎<adjunto: 00000958-PHOTO-2025-12-19-15-27-36.jpg>
‎[19/12/25, 3:29:11 p. m.] Facu: Achu ‎<adjunto: 00000959-PHOTO-2025-12-19-15-29-11.jpg>
‎[23/12/25, 9:41:00 a. m.] Facu: Carvi ‎<adjunto: 00000960-PHOTO-2025-12-23-09-41-00.jpg>
‎[23/12/25, 9:56:58 a. m.] Facu: ‎<adjunto: 00000961-PHOTO-2025-12-23-09-56-58.jpg>
‎[23/12/25, 9:57:30 a. m.] Facu: 700k acuario ‎<adjunto: 00000962-PHOTO-2025-12-23-09-57-30.jpg>
‎[29/12/25, 11:14:37 a. m.] Facu: ‎<adjunto: 00000963-PHOTO-2025-12-29-11-14-37.jpg>
[29/12/25, 11:14:37 a. m.] Facu: Pago acuario
‎[9/1/26, 10:53:38 a. m.] Facu: Mile ‎<adjunto: 00000965-PHOTO-2026-01-09-10-53-38.jpg>
‎[9/1/26, 10:54:01 a. m.] Facu: Achu ‎<adjunto: 00000966-PHOTO-2026-01-09-10-54-01.jpg>
‎[9/1/26, 10:58:13 a. m.] Facu: Mati + impresion ‎<adjunto: 00000967-PHOTO-2026-01-09-10-58-13.jpg>
‎[9/1/26, 12:36:09 p. m.] Facu: Pago a natalfim ‎<adjunto: 00000968-PHOTO-2026-01-09-12-36-09.jpg>
‎[9/1/26, 12:50:47 p. m.] Mati Tuscherr: impresion de propuestas de la salada, pague 1.000 de mas xq aumento a 600 la hoja a color ‎<adjunto: 00000969-PHOTO-2026-01-09-12-50-47.jpg>
‎[12/1/26, 12:52:13 p. m.] Achu: Pago a Acuario + $200.000 en efvo ‎<adjunto: 00000970-PHOTO-2026-01-12-12-52-13.jpg>
[13/1/26, 9:11:43 a. m.] Facu: Preparar el chq de express como pago a acuario
Se lo llevamos mañana y retiramos beyond
‎[13/1/26, 12:52:36 p. m.] Mati Tuscherr: ‎<adjunto: 00000972-PHOTO-2026-01-13-12-52-36.jpg>
[13/1/26, 12:52:44 p. m.] Mati Tuscherr: fotocopias presupuestos
‎[13/1/26, 12:58:53 p. m.] Facu: ‎<adjunto: 00000974-PHOTO-2026-01-13-12-58-53.jpg>
‎[13/1/26, 1:21:57 p. m.] Facu: ‎<adjunto: 00000975-PHOTO-2026-01-13-13-21-57.jpg>
[13/1/26, 1:21:57 p. m.] Facu: Le pague a carvi
[13/1/26, 4:45:01 p. m.] Mati Tuscherr: cheque 1983+ cheque 1984 van para acuario
‎[15/1/26, 10:34:51 a. m.] Facu: Le mande a Mati para imprimir ‎<adjunto: 00000978-PHOTO-2026-01-15-10-34-51.jpg>
‎[16/1/26, 9:48:22 a. m.] Achu: Nafta ‎<adjunto: 00000979-PHOTO-2026-01-16-09-48-22.jpg>
[16/1/26, 10:50:33 a. m.] Facu: pudiste con a tarjeta?
[16/1/26, 10:51:20 a. m.] Achu: Sisi
‎[16/1/26, 11:10:12 a. m.] Facu: Achu ‎<adjunto: 00000982-PHOTO-2026-01-16-11-10-12.jpg>
‎[16/1/26, 11:10:43 a. m.] Facu: Mati ‎<adjunto: 00000983-PHOTO-2026-01-16-11-10-43.jpg>
‎[16/1/26, 11:11:12 a. m.] Facu: Mile ‎<adjunto: 00000984-PHOTO-2026-01-16-11-11-12.jpg>
‎[22/1/26, 2:57:55 p. m.] Facu: ‎<adjunto: 00000985-PHOTO-2026-01-22-14-57-55.jpg>
[22/1/26, 2:57:55 p. m.] Facu: Mati
‎[23/1/26, 10:52:43 a. m.] Facu: Mati ‎<adjunto: 00000987-PHOTO-2026-01-23-10-52-43.jpg>
‎[23/1/26, 1:52:51 p. m.] Facu: Achu ‎<adjunto: 00000988-PHOTO-2026-01-23-13-52-51.jpg>
‎[23/1/26, 1:53:27 p. m.] Facu: Mile ‎<adjunto: 00000989-PHOTO-2026-01-23-13-53-27.jpg>
‎[26/1/26, 4:15:05 p. m.] Achu: Nafta ‎<adjunto: 00000990-PHOTO-2026-01-26-16-15-05.jpg>
‎[29/1/26, 1:30:44 p. m.] Facu: Nafta ‎<adjunto: 00000991-PHOTO-2026-01-29-13-30-44.jpg>
‎[30/1/26, 11:30:38 a. m.] Facu: Achu ‎<adjunto: 00000992-PHOTO-2026-01-30-11-30-38.jpg>
‎[30/1/26, 11:31:08 a. m.] Facu: Mile ‎<adjunto: 00000993-PHOTO-2026-01-30-11-31-08.jpg>
‎[3/2/26, 11:30:06 a. m.] Facu: Achu ‎<adjunto: 00000994-PHOTO-2026-02-03-11-30-06.jpg>
‎[3/2/26, 11:30:35 a. m.] Facu: Mile ‎<adjunto: 00000995-PHOTO-2026-02-03-11-30-35.jpg>
‎[5/2/26, 9:54:45 a. m.] Facu: ‎<adjunto: 00000996-PHOTO-2026-02-05-09-54-45.jpg>
[5/2/26, 9:54:45 a. m.] Facu: Pago a printmax
Con esto le debemos 180k
‎[6/2/26, 5:08:21 p. m.] Facu: Achu ‎<adjunto: 00000998-PHOTO-2026-02-06-17-08-21.jpg>
‎[6/2/26, 5:08:48 p. m.] Facu: Mile ‎<adjunto: 00000999-PHOTO-2026-02-06-17-08-48.jpg>
‎[6/2/26, 5:09:09 p. m.] Facu: Mati ‎<adjunto: 00001000-PHOTO-2026-02-06-17-09-09.jpg>
[12/2/26, 12:19:12 p. m.] Facu: 300k en efectivo para Mati
300k en efectivo para Achu
‎[12/2/26, 12:20:01 p. m.] Facu: Mile ‎<adjunto: 00001002-PHOTO-2026-02-12-12-20-01.jpg>
‎[12/2/26, 2:05:10 p. m.] Mati Tuscherr: fotocopias (de lo que me habian pasado para las fotocopias quedaban solo 1.500 asi que pague la diferencia) ‎<adjunto: 00001003-PHOTO-2026-02-12-14-05-10.jpg>
[12/2/26, 2:05:26 p. m.] Mati Tuscherr: 15.300 seria la dif
‎[12/2/26, 2:58:51 p. m.] Facu: Fotocopias ‎<adjunto: 00001005-PHOTO-2026-02-12-14-58-51.jpg>
[12/2/26, 2:59:05 p. m.] Facu: 250 mas para Achu
‎[20/2/26, 12:59:36 p. m.] Facu: Mile ‎<adjunto: 00001007-PHOTO-2026-02-20-12-59-36.jpg>
‎[20/2/26, 1:00:16 p. m.] Facu: Achu ‎<adjunto: 00001008-PHOTO-2026-02-20-13-00-16.jpg>
[20/2/26, 1:00:52 p. m.] Facu: 200 mil en efectivo para achu
‎[20/2/26, 1:05:04 p. m.] Facu: Mati + 100 en efectivo ‎<adjunto: 00001010-PHOTO-2026-02-20-13-05-04.jpg>
‎[24/2/26, 10:41:23 a. m.] Facu: ‎<adjunto: 00001011-PHOTO-2026-02-24-10-41-23.jpg>
[24/2/26, 10:41:29 a. m.] Facu: Mile
‎[24/2/26, 10:46:28 a. m.] Mati Tuscherr: cajas de cartón ‎<adjunto: 00001013-PHOTO-2026-02-24-10-46-28.jpg>
‎[24/2/26, 11:36:00 a. m.] Facu: Achu ‎<adjunto: 00001014-PHOTO-2026-02-24-11-36-00.jpg>
‎[24/2/26, 11:37:05 a. m.] Facu: ‎<adjunto: 00001015-PHOTO-2026-02-24-11-37-05.jpg>
‎[24/2/26, 3:31:10 p. m.] Mati Tuscherr: compre mas cajas de cartón ‎<adjunto: 00001016-PHOTO-2026-02-24-15-31-10.jpg>
[24/2/26, 3:36:07 p. m.] Facu: Voy
‎[24/2/26, 3:36:36 p. m.] Facu: ‎<adjunto: 00001018-PHOTO-2026-02-24-15-36-36.jpg>
‎[25/2/26, 4:51:53 p. m.] Facu: Mile ‎<adjunto: 00001019-PHOTO-2026-02-25-16-51-53.jpg>
‎[25/2/26, 4:52:19 p. m.] Facu: Achu ‎<adjunto: 00001020-PHOTO-2026-02-25-16-52-19.jpg>
‎[25/2/26, 4:52:45 p. m.] Facu: Mati ‎<adjunto: 00001021-PHOTO-2026-02-25-16-52-45.jpg>
‎[26/2/26, 10:49:56 a. m.] Mati Tuscherr: cintas de embalaje ‎<adjunto: 00001022-PHOTO-2026-02-26-10-49-56.jpg>
‎[4/3/26, 6:38:29 p. m.] Facu: Mati ‎<adjunto: 00001023-PHOTO-2026-03-04-18-38-29.jpg>
[4/3/26, 6:38:53 p. m.] Guido Avios: ‎Guido Avios salió del grupo.
[4/3/26, 6:38:58 p. m.] Mati Tuscherr: ‎Mati Tuscherr salió del grupo.
‎[4/3/26, 6:40:50 p. m.] Facu: Mile ‎<adjunto: 00001026-PHOTO-2026-03-04-18-40-50.jpg>
‎[4/3/26, 6:41:15 p. m.] Facu: Achu ‎<adjunto: 00001027-PHOTO-2026-03-04-18-41-15.jpg>
‎[5/3/26, 12:00:53 p. m.] Facu: A markplast ‎<adjunto: 00001028-PHOTO-2026-03-05-12-00-53.jpg>
‎[9/3/26, 2:21:24 p. m.] Facu: Achu ‎<adjunto: 00001029-PHOTO-2026-03-09-14-21-24.jpg>
‎[9/3/26, 2:22:08 p. m.] Facu: Mile ‎<adjunto: 00001030-PHOTO-2026-03-09-14-22-08.jpg>
‎[11/3/26, 4:28:09 p. m.] Facu: Achu ‎<adjunto: 00001031-PHOTO-2026-03-11-16-28-09.jpg>
‎[11/3/26, 4:28:39 p. m.] Facu: Mile ‎<adjunto: 00001032-PHOTO-2026-03-11-16-28-39.jpg>
‎[16/3/26, 5:29:59 p. m.] Facu: Achu ‎<adjunto: 00001033-PHOTO-2026-03-16-17-29-59.jpg>
‎[16/3/26, 5:32:51 p. m.] Facu: Mile ‎<adjunto: 00001034-PHOTO-2026-03-16-17-32-51.jpg>
